code,description,status,unit,range,range$type,lead_time,has_file,tax_rate_id,tax_rate,code_description,profile,delivery_confirmation,price,default_supplier,req_multi_colour,req_profile,req_specification,boq_only,default_supplier_id,specification_image_ok,req_product_colour_image,category_id,category
DPP,Wiring of Double Power Point ,Active,Each,,,5,,1,GST,DPP : Wiring of Double Power Point ,,2,51,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WEF,Wiring of Exhaust Fan including Supply Fan 250mm,Active,Each,,,5,,1,GST,WEF : Wiring of Exhaust Fan including Supply Fan 250mm,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WLP,Wiring of Light Point,Active,Each,,,5,,1,GST,WLP : Wiring of Light Point,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
ILF,Install Light Fittings,Active,Each,,,5,,1,GST,ILF : Install Light Fittings,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
TP,Telephone point,Active,Each,,,5,,1,GST,TP : Telephone point,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
SPP,Wiring of Single Power Point,Active,Each,,,5,,1,GST,SPP : Wiring of Single Power Point,,2,50,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
ODPP,Waterproof double power point,Active,Each,,,5,,1,GST,ODPP : Waterproof double power point,,2,69,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
SDHW,Smoke Detectors Hard Wired Supply of Unit As Well,Active,Each,,,5,,1,GST,SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WTV,Wiring of TV point,Active,Each,,,5,,1,GST,WTV : Wiring of TV point,,2,58,TL Electrical,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
WTWS,Wiring of Two way switch,Active,Each,,,5,,1,GST,WTWS : Wiring of Two way switch,,2,,,FALSE,FALSE,FALSE,TRUE,327,,,115,ELECTRICAL
SITEWKS,Rock retaining as Quoted,Active,POA,,,5,,1,GST,SITEWKS : Rock retaining as Quoted,,2,1,,FALSE,FALSE,FALSE,TRUE,256,,FALSE,209,SITE WORKS
SITEWKS1,Site cut as Directed,Active,hours,,,5,,1,GST,SITEWKS1 : Site cut as Directed,,2,110,,FALSE,FALSE,FALSE,TRUE,256,,FALSE,209,SITE WORKS
CCMIN,Cutting min Charge,Active,Each,,,14,,1,GST,CCMIN : Cutting min Charge,,2,170,Logan Concrete Sawing and Drilling,FALSE,FALSE,FALSE,TRUE,313,,FALSE,105,CONCRETE CUTTING
POOLAPOQUO,Pool as per Quote,Active,Each,,,5,,1,GST,POOLAPOQUO : Pool as per Quote,,2,1,POOL,FALSE,FALSE,FALSE,TRUE,271,,FALSE,230,POOL
CRUSHERDUST,Crusher Dust,Active,M3,,,5,,1,GST,CRUSHERDUST : Crusher Dust,,2,333.83,Jopa Queensland,FALSE,FALSE,FALSE,TRUE,282,,FALSE,145,LANDSCAPING
DRI,Document Registration New Dwelling - Ipswich,Active,Each,,,0,,1,GST,DRI : Document Registration New Dwelling - Ipswich,,0,120,Fluid Building Approvals,FALSE,FALSE,FALSE,TRUE,268,,FALSE,106,PRIVATE CERTIFIER
DRCB,Document Registration Commercial - Brisbane,Active,Each,,,0,,1,GST,DRCB : Document Registration Commercial - Brisbane,,0,137,Fluid Building Approvals,FALSE,FALSE,FALSE,TRUE,268,,FALSE,106,PRIVATE CERTIFIER
PDSSI,Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),Active,Each,,,0,,1,GST,PDSSI : Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),,0,74,Fluid Building Approvals,FALSE,FALSE,FALSE,TRUE,268,,FALSE,106,PRIVATE CERTIFIER
BPBDELV,Brisbane post and beams delv,Active,Each,,,5,,1,GST,BPBDELV : Brisbane post and beams delv,,2,35,Harvey's Mechanical & Welding Services Pty Ltd,FALSE,FALSE,FALSE,TRUE,250,,FALSE,187,STEEL
PSTSTIR,Post stirups as quoted,Active,Each,,,5,,1,GST,PSTSTIR : Post stirups as quoted,,2,45,Harvey's Mechanical & Welding Services Pty Ltd,FALSE,FALSE,FALSE,TRUE,250,,FALSE,187,STEEL
SITEWELD,Site work as directed,Active,Each,,,5,,1,GST,SITEWELD : Site work as directed,,2,82,Harvey's Mechanical & Welding Services Pty Ltd,FALSE,FALSE,FALSE,TRUE,250,,FALSE,187,STEEL
BSACONTRAT,BSA One Pack Contract Kit,Active,Each,,,5,,1,GST,BSACONTRAT : BSA One Pack Contract Kit,,2,10,PRELIM,FALSE,FALSE,FALSE,TRUE,270,,FALSE,215,PRELIM
HQ,Hire equipment as requested,Active,Each,,,5,,1,GST,HQ : Hire equipment as requested,,2,1,Dinkum Dunnies,FALSE,FALSE,FALSE,TRUE,290,,FALSE,193,HIRE
WS99,Wet Seal Square 900 X 900,Active,Each,,,5,,1,GST,WS99 : Wet Seal Square 900 X 900,,2,250,Wayke Waterproofing. Ware,FALSE,FALSE,FALSE,TRUE,234,,,210,WET SEAL
QHOP,Quote for Hang-on Platform,Active,Each,,,5,,1,GST,QHOP : Quote for Hang-on Platform,,2,1,SCAFFOLD,FALSE,FALSE,FALSE,TRUE,262,,FALSE,138,SCAFFOLD
QP111,Quad Pine 11 X 11,Active,lm,,,14,,1,GST,QP111 : Quad Pine 11 X 11,,2,1.0818,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
QP1818,Quad Pine 18 X 18 Primed LOSP H3,Active,lm,,,14,,1,GST,QP1818 : Quad Pine 18 X 18 Primed LOSP H3,,2,1.1909,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP4211,Square Dressed Pine 42 X 11,Active,lm,,,14,,1,GST,SDP4211 : Square Dressed Pine 42 X 11,,2,1.0636,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP4218,Square Dressed Pine 42 X 18,Active,lm,,,14,,1,GST,SDP4218 : Square Dressed Pine 42 X 18,,2,1.4,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP6618,Square Dressed Pine 66 X 18,Active,lm,,,14,,1,GST,SDP6618 : Square Dressed Pine 66 X 18,,2,2.7091,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
SDP9318,Square Dressed Pine 93 X 18,Active,lm,,,14,,1,GST,SDP9318 : Square Dressed Pine 93 X 18,,2,3.23,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
MGP107035,Pine 70 X 35 MGP10,Active,lm,,,10,,1,GST,MGP107035 : Pine 70 X 35 MGP10,,2,1.8636,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
MGP109035,Pine 90 X 35 MGP10,Active,lm,,,10,,1,GST,MGP109035 : Pine 90 X 35 MGP10,,2,2.0455,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
MGP1019035,Pine 190 X 35 MGP10,Active,lm,,,10,,1,GST,MGP1019035 : Pine 190 X 35 MGP10,,2,5.6545,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
MGP127035,Pine 70 X 35 MGP12,Active,lm,,,10,,1,GST,MGP127035 : Pine 70 X 35 MGP12,,2,2.4636,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
DECKBAL9019,Yellow Balau Batu 90 X 19 Decking Material,Active,lm,,,10,,1,GST,DECKBAL9019 : Yellow Balau Batu 90 X 19 Decking Material,,2,4.2182,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
DECKM9019,Merbau 90 X 19 Decking Material,Active,lm,,,10,,1,GST,DECKM9019 : Merbau 90 X 19 Decking Material,,2,3.6636,TIMBER FRAME,FALSE,FALSE,FALSE,TRUE,242,,FALSE,178,TIMBER FRAME
CUSHSTOP,Door Stop Cushion,Active,Each,,,14,,1,GST,CUSHSTOP : Door Stop Cushion,,2,1.0545,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHR18,Wardrobe Hanging Rod 1800 X 19mm,Active,Each,,,14,,1,GST,WHR18 : Wardrobe Hanging Rod 1800 X 19mm,,2,8.3727,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHR36,Wardrobe Hanging Rod 3600 X 19mm,Active,Each,,,14,,1,GST,WHR36 : Wardrobe Hanging Rod 3600 X 19mm,,2,16.1,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHRE,Wardrobe Hanging Rod Ends,Active,pairs,,,14,,1,GST,WHRE : Wardrobe Hanging Rod Ends,,2,2.7545,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
WHRC,Wardrobe Hanging Rod Centres,Active,Each,,,14,,1,GST,WHRC : Wardrobe Hanging Rod Centres,,2,1.5,Pre Hung Doors (PHD),FALSE,FALSE,FALSE,TRUE,294,,FALSE,182,FIX-OUT MATERIALS
BNHG12100,Bolt & Nut Hex Galv M12 X 100 each,Active,Each,,,5,,1,GST,BNHG12100 : Bolt & Nut Hex Galv M12 X 100 each,,2,1.4364,Bunnings,FALSE,FALSE,FALSE,TRUE,291,,FALSE,179,HARDWARE
