id,code,description,unit,range_id,range,colour_spec_id,colour_spec,colour_spec$type,price,default_supplier,brand_linked,budget_zone
42328,DPP,Wiring of Double Power Point ,Each,,,,,,51,TL Electrical,,
42329,WEF,Wiring of Exhaust Fan including Supply Fan 250mm,Each,,,,,,,,,
42330,WLP,Wiring of Light Point,Each,,,,,,,,,
42331,ILF,Install Light Fittings,Each,,,,,,,,,
42332,TP,Telephone point,Each,,,,,,,,,
42333,SPP,Wiring of Single Power Point,Each,,,,,,50,TL Electrical,,
42334,ODPP,Waterproof double power point,Each,,,,,,69,TL Electrical,,
42335,SDHW,Smoke Detectors Hard Wired Supply of Unit As Well,Each,,,,,,,,,
42336,WTV,Wiring of TV point,Each,,,,,,58,TL Electrical,,
42337,WTWS,Wiring of Two way switch,Each,,,,,,,,,
42338,SITEWKS,Rock retaining as Quoted,POA,,,,,,1,,,
42339,SITEWKS1,Site cut as Directed,hours,,,,,,110,,,Site Cut
42340,CCMIN,Cutting min Charge,Each,,,,,,170,Logan Concrete Sawing and Drilling,,
42341,POOLAPOQUO,Pool as per Quote,Each,,,,,,1,POOL,,
42342,CRUSHERDUST,Crusher Dust,M3,,,,,,333.83,Jopa Queensland,,
42343,DRI,Document Registration New Dwelling - Ipswich,Each,,,,,,120,Fluid Building Approvals,,
42344,DRCB,Document Registration Commercial - Brisbane,Each,,,,,,137,Fluid Building Approvals,,
42345,PDSSI,Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),Each,,,,,,74,Fluid Building Approvals,,
42346,BPBDELV,Brisbane post and beams delv,Each,,,,,,35,Harvey's Mechanical & Welding Services Pty Ltd,,
42347,PSTSTIR,Post stirups as quoted,Each,,,,,,45,Harvey's Mechanical & Welding Services Pty Ltd,,
42348,SITEWELD,Site work as directed,Each,,,,,,82,Harvey's Mechanical & Welding Services Pty Ltd,,
42349,BSACONTRAT,BSA One Pack Contract Kit,Each,,,,,,10,PRELIM,,
42350,HQ,Hire equipment as requested,Each,,,,,,1,Dinkum Dunnies,,
42351,WS99,Wet Seal Square 900 X 900,Each,,,,,,250,Wayke Waterproofing. Ware,,
42352,QHOP,Quote for Hang-on Platform,Each,,,,,,1,SCAFFOLD,,Scaffolding & Saftey
42353,QP111,Quad Pine 11 X 11,lm,,,,,,1.0818,Pre Hung Doors (PHD),,
42354,QP1818,Quad Pine 18 X 18 Primed LOSP H3,lm,,,,,,1.1909,Pre Hung Doors (PHD),,
42355,SDP4211,Square Dressed Pine 42 X 11,lm,,,,,,1.0636,Pre Hung Doors (PHD),,
42356,SDP4218,Square Dressed Pine 42 X 18,lm,,,,,,1.4,Pre Hung Doors (PHD),,
42357,SDP6618,Square Dressed Pine 66 X 18,lm,,,,,,2.7091,Pre Hung Doors (PHD),,
42358,SDP9318,Square Dressed Pine 93 X 18,lm,,,,,,3.23,Pre Hung Doors (PHD),,
42359,MGP107035,Pine 70 X 35 MGP10,lm,,,,,,1.8636,TIMBER FRAME,,
42360,MGP109035,Pine 90 X 35 MGP10,lm,,,,,,2.0455,TIMBER FRAME,,
42361,MGP1019035,Pine 190 X 35 MGP10,lm,,,,,,5.6545,TIMBER FRAME,,
42362,MGP127035,Pine 70 X 35 MGP12,lm,,,,,,2.4636,TIMBER FRAME,,
42363,DECKBAL9019,Yellow Balau Batu 90 X 19 Decking Material,lm,,,,,,4.2182,TIMBER FRAME,,
42364,DECKM9019,Merbau 90 X 19 Decking Material,lm,,,,,,3.6636,TIMBER FRAME,,
42365,CUSHSTOP,Door Stop Cushion,Each,,,,,,1.0545,Pre Hung Doors (PHD),,
42366,WHR18,Wardrobe Hanging Rod 1800 X 19mm,Each,,,,,,8.3727,Pre Hung Doors (PHD),,
42367,WHR36,Wardrobe Hanging Rod 3600 X 19mm,Each,,,,,,16.1,Pre Hung Doors (PHD),,
42368,WHRE,Wardrobe Hanging Rod Ends,pairs,,,,,,2.7545,Pre Hung Doors (PHD),,
42369,WHRC,Wardrobe Hanging Rod Centres,Each,,,,,,1.5,Pre Hung Doors (PHD),,
42370,BNHG12100,Bolt & Nut Hex Galv M12 X 100 each,Each,,,,,,1.4364,Bunnings,,
42371,BNHG12130,Bolt & Nut Hex Galv M12 X 130 each,Each,,,,,,1.3364,Bunnings,,
42372,BNHG12140,Bolt & Nut Hex Galv M12 X 140 each,Each,,,,,,1.1636,Bunnings,,
42373,BNHG12150,Bolt & Nut Hex Galv M12 X 150 each,Each,,,,,,1.4636,Bunnings,,
42374,BCG12100,Bolt & Nut Cup Galv M12 X 100 each,Each,,,,,,1,Bunnings,,
42375,BCG12130,Bolt & Nut Cup Galv M12 X 130 each,Each,,,,,,1.1182,Bunnings,,
42376,BCG12140,Bolt & Nut Cup Galv M12 X 140 each,Each,,,,,,1.1727,Bunnings,,
42377,BCG12150,Bolt & Nut Cup Galv M12 X 150 each,Each,,,,,,1.2273,Bunnings,,
42378,480PBS,Gainsborough 60mm Backset Tubular Latch,Each,,,,,,3.6273,Pre Hung Doors (PHD),,
42379,480BCS,Gainsborough 60mm Backset Tubular Latch,Each,,,,,,3.6273,Pre Hung Doors (PHD),,
42380,L12100,Lintel Ingal 100 X 100 - 1200mm,Each,,,,,,32.709,Bunnings,,
42381,L15100,Lintel Ingal 100 X 100 - 1500mm,Each,,,,,,40.8909,Bunnings,,
42382,L18100,Lintel Ingal 100 X 100 - 1800mm,Each,,,,,,49.0545,Bunnings,,
42383,L21100,Lintel Ingal 100 X 100 - 2100mm,Each,,,,,,72.7909,Bunnings,,
42384,L24100,Lintel Ingal 100 X 100 - 2400mm,Each,,,,,,65.4364,Bunnings,,
42385,L21150,Lintel Ingal 150 X 100 - 2100mm,Each,,,,,,93.9636,Bunnings,,
42386,L24150,Lintel Ingal 150 X 100 - 2400mm,Each,,,,,,107.3909,Bunnings,,
42387,L27150,Lintel Ingal 150 X 100 - 2700mm,Each,,,,,,120.8,Bunnings,,
42388,L30150,Lintel Ingal 150 X 100 - 3000mm,Each,,,,,,134.2364,Bunnings,,
42389,L33150,Lintel Ingal 150 X 100 - 3300mm,Each,,,,,,147.6545,Bunnings,,
42390,L36150,Lintel Ingal 150 X 100 - 3600mm,Each,,,,,,161.0727,Bunnings,,
42391,LF85900,Lintel Ingal Flat 85 X 900mm,Each,,,,,,19.5818,Bunnings,,
42392,LF851200,Lintel Ingal Flat 85 X 1200mm,Each,,,,,,26.0909,Bunnings,,
42393,FLRRD36922,Flooring GP Red Tongue 3600 X 900 X 22,shts,,,,,,50,TIMBER FRAME,,
42394,PD420,Honeycomb Core 2040 X 420 X 35,Each,325,Honeycomb - Corinthian,,,,30,Pre Hung Doors (PHD),Corinthian - 2100 420 Int Door,
