 price ,effective_date,display_field,pricebook_id,pricebook,pricebook$type,default_supplier,supplier_trade_id,supplier_trade,product_id,contact_region
 $67.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : WEF : Wiring of Exhaust Fan including Supply Fan 250mm,42329,WEF,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $67.00 ,2/09/2023,All Clear Electrical : WEF : Wiring of Exhaust Fan including Supply Fan 250mm,42329,WEF,116,FALSE,495,All Clear Electrical,,South East Queensland
 $67.00 ,27/06/2023,ELECTRICAL : WEF : Wiring of Exhaust Fan including Supply Fan 250mm,42329,WEF,116,FALSE,327,ELECTRICAL,,South East Queensland
 $29.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : WLP : Wiring of Light Point,42330,WLP,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $29.00 ,27/06/2023,ELECTRICAL : WLP : Wiring of Light Point,42330,WLP,116,FALSE,327,ELECTRICAL,,South East Queensland
 $29.00 ,2/09/2023,All Clear Electrical : WLP : Wiring of Light Point,42330,WLP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $4.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : ILF : Install Light Fittings,42331,ILF,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $4.00 ,2/09/2023,All Clear Electrical : ILF : Install Light Fittings,42331,ILF,116,FALSE,495,All Clear Electrical,,South East Queensland
 $4.00 ,27/06/2023,ELECTRICAL : ILF : Install Light Fittings,42331,ILF,116,FALSE,327,ELECTRICAL,,South East Queensland
 $37.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : TP : Telephone point,42332,TP,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $37.00 ,27/06/2023,ELECTRICAL : TP : Telephone point,42332,TP,116,FALSE,327,ELECTRICAL,,South East Queensland
 $37.00 ,2/09/2023,All Clear Electrical : TP : Telephone point,42332,TP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $37.00 ,2/09/2023,RJF Installations : TP : Telephone point,42332,TP,116,FALSE,521,RJF Installations,,South East Queensland
 $53.10 ,30/12/2024,All Clear Electrical : TP : Telephone point,42332,TP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $23.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : WTWS : Wiring of Two way switch,42337,WTWS,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $35.40 ,19/02/2024,All Clear Electrical : WTWS : Wiring of Two way switch,42337,WTWS,116,FALSE,495,All Clear Electrical,,South East Queensland
 $33.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : DPP : Wiring of Double Power Point,42328,DPP,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $33.00 ,2/09/2023,All Clear Electrical : DPP : Wiring of Double Power Point,42328,DPP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $51.00 ,30/05/2024,TL Electrical : DPP : Wiring of Double Power Point,42328,DPP,116,TRUE,728,TL Electrical,,
 $33.00 ,27/06/2023,ELECTRICAL : DPP : Wiring of Double Power Point,42328,DPP,116,FALSE,327,ELECTRICAL,,South East Queensland
 $48.79 ,30/12/2024,All Clear Electrical : DPP : Wiring of Double Power Point,42328,DPP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $28.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : SPP : Wiring of Single Power Point,42333,SPP,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $47.60 ,30/12/2024,All Clear Electrical : SPP : Wiring of Single Power Point,42333,SPP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $50.00 ,30/05/2024,TL Electrical : SPP : Wiring of Single Power Point,42333,SPP,116,TRUE,728,TL Electrical,,
 $-   ,2/09/2023,All Clear Electrical : SPP : Wiring of Single Power Point,42333,SPP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $28.00 ,27/06/2023,ELECTRICAL : SPP : Wiring of Single Power Point,42333,SPP,116,FALSE,327,ELECTRICAL,,South East Queensland
 $69.00 ,30/05/2024,TL Electrical : ODPP : Waterproof double power point,42334,ODPP,116,TRUE,728,TL Electrical,,
 $57.00 ,27/06/2023,ELECTRICAL : ODPP : Waterproof double power point,42334,ODPP,116,FALSE,327,ELECTRICAL,,South East Queensland
 $57.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : ODPP : Waterproof double power point,42334,ODPP,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $57.00 ,2/09/2023,All Clear Electrical : ODPP : Waterproof double power point,42334,ODPP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $88.50 ,30/12/2024,All Clear Electrical : ODPP : Waterproof double power point,42334,ODPP,116,FALSE,495,All Clear Electrical,,South East Queensland
 $87.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $87.00 ,2/09/2023,All Clear Electrical : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,116,FALSE,495,All Clear Electrical,,South East Queensland
 $87.00 ,27/06/2023,ELECTRICAL : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,116,FALSE,327,ELECTRICAL,,South East Queensland
 $87.00 ,2/09/2023,RJF Installations : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,116,FALSE,521,RJF Installations,,South East Queensland
 $31.00 ,2/09/2023,Latitude 28 Cabling Pty Ltd : WTV : Wiring of TV point,42336,WTV,116,FALSE,513,Latitude 28 Cabling Pty Ltd,,South East Queensland
 $31.00 ,27/06/2023,ELECTRICAL : WTV : Wiring of TV point,42336,WTV,116,FALSE,327,ELECTRICAL,,South East Queensland
 $58.00 ,30/05/2024,TL Electrical : WTV : Wiring of TV point,42336,WTV,116,TRUE,728,TL Electrical,,
 $31.00 ,2/09/2023,All Clear Electrical : WTV : Wiring of TV point,42336,WTV,116,FALSE,495,All Clear Electrical,,South East Queensland
 $59.00 ,30/12/2024,All Clear Electrical : WTV : Wiring of TV point,42336,WTV,116,FALSE,495,All Clear Electrical,,South East Queensland
 $333.83 ,27/05/2024,Jopa Queensland : CRUSHERDUST : Crusher Dust,42342,CRUSHERDUST,116,TRUE,726,Jopa Queensland,,
 $30.20 ,27/06/2023,LANDSCAPING : CRUSHERDUST : Crusher Dust,42342,CRUSHERDUST,116,FALSE,282,LANDSCAPING,,South East Queensland
 $120.00 ,27/06/2023,PRIVATE CERTIFIER : DRI : Document Registration New Dwelling - Ipswich,42343,DRI,116,FALSE,268,PRIVATE CERTIFIER,,South East Queensland
 $120.00 ,4/12/2023,Fluid Building Approvals : DRI : Document Registration New Dwelling - Ipswich,42343,DRI,116,TRUE,576,Fluid Building Approvals,,
 $137.00 ,4/12/2023,Fluid Building Approvals : DRCB : Document Registration Commercial - Brisbane,42344,DRCB,116,TRUE,576,Fluid Building Approvals,,
 $137.00 ,27/06/2023,PRIVATE CERTIFIER : DRCB : Document Registration Commercial - Brisbane,42344,DRCB,116,FALSE,268,PRIVATE CERTIFIER,,South East Queensland
 $74.00 ,27/06/2023,PRIVATE CERTIFIER : PDSSI : Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),42345,PDSSI,116,FALSE,268,PRIVATE CERTIFIER,,South East Queensland
 $74.00 ,4/12/2023,Fluid Building Approvals : PDSSI : Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),42345,PDSSI,116,TRUE,576,Fluid Building Approvals,,
 $23.00 ,2/09/2023,All Clear Electrical : WTWS : Wiring of Two way switch,42337,WTWS,116,FALSE,495,All Clear Electrical,,South East Queensland
 $23.00 ,27/06/2023,ELECTRICAL : WTWS : Wiring of Two way switch,42337,WTWS,116,FALSE,327,ELECTRICAL,,South East Queensland
