id,sys_type_id,deleted,parent_id,parent,parent$type,drive_id,folder_id,total,purchase_order_number,amount_still_to_be_invoiced,estimation_check,sub_total,tax,ted_task_id,ted_task,ted_task$type,supplier_id,supplier,supplier$type,total_with_allowance,product_package_id,product_package,product_package$type,construction_id,construction,construction$type,budget,xero_amount_paid,xero_supplier,xero_complete,xero_still_to_be_paid,xero_budget_diff,xero_paid_date,diff_po_with_allowance_versus_budget,xero_id,xero_total_with_allowance,diff_xero_and_total_but_not_complete,total_allowance_xero_paid,part_payment,xero_amount_paid_exc_gst,ld_versus_xero_paid,sams_notes
54397,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3POKPAREMDTBE2CNPA3VZ5V3HM,1980,PO-054397,,false,1800,180,,,,,,,3980,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,0,,false,0,0,,3980,,54397,3980,3980,false,,0,
52620,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W5MGHQRCWXXPNF3O6DNBVI3O2BC,27500,PO-052620,,false,25000,2500,770,Req Traffic Mangement,99,,,,27500,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,27500,2802.58,East Coast Traffic Services,true,0,24697.42,2025-5-16,0,,52620,24697.42,24697.42,false,2547.8,24697.42,
48920,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6WZ6ZKOZN7QAXFGJBKNIOUPDK5LK,8710,PO-048920,,true,8710,0,611,Req PLSL (QLeave),127,273,PLSL,16,8710,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,8710,8710,Tekna Admin,true,0,0,2025-2-5,0,,48920,0,0,false,7918.18,0,
52576,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W6BMTM6ZAGKIJGI2EF7Y3KFBIMW,8497.5,PO-052576,,true,7725,772.5,271,Req Concrete Pump for Wafflepod,99,312,CONCRETE PUMPING,16,8497.5,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,8497.5,8497.5,Sunny Coast Concreting,true,0,0,2025-4-24,0,,52576,0,0,false,7725,0,
48882,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6WZC4UCIDWZTS5FIU5VBKYND2EKC,449.999,PO-048882,,true,409.09,40.909,534,Req OHSE WHSE House,99,496,All Industry Safety QLD (AIS),16,449.999,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,352,0,0,false,352,0,0,97.999,,48882,449.999,449.999,false,0,352,
48904,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3OB6YLWDP7TJGZXY4SP3HMDIS7,1452,PO-048904,,true,1320,132,465,Req Smart-Film Penetrations,99,499,Bittn Australia Pty Ltd,16,1452,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,1452,1573,Bittn Termite + Pest,true,0,-121,2025-4-25,0,887fdd4e-d686-4b6f-b55d-e3e0f7f637c2,48904,-121,-121,false,1430,-121,
48916,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W4PH6UWRQCHPRC3SBJA64W4DK5G,1435.5,PO-048916,,true,1305,130.5,466,Req Smart-Film Perimeter,99,499,Bittn Australia Pty Ltd,16,1935.5,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,1660.5,1967.9,Bittn Termite + Pest,true,0,-307.4,2025-9-19,275,887fdd4e-d686-4b6f-b55d-e3e0f7f637c2,48916,-32.4,-32.4,false,1789,-307.4,
48910,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3G2LLSYDXKV5D3NEPH5NRP5DKJ,1603.8,PO-048910,,true,1458,145.8,466,Req Smart-Film Perimeter,99,499,Bittn Australia Pty Ltd,16,2103.8,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,2103.8,1772.1,Bittn Termite + Pest,true,0,331.7,2025-5-9,0,887fdd4e-d686-4b6f-b55d-e3e0f7f637c2,48910,331.7,331.7,false,1611,331.7,
48852,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3JZ26ZMDVAPRBINTIKN5AIOUS2,17523,PO-048852,,true,15930,1593,363,Req Hot Water System,99,500,Chromagen Australia Pty Ltd,16,10686,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,10960.4,2183.5,Chromagen,true,0,8776.9,2025-10-15,-274.4,6edf6868-db13-4c8f-8b72-34378d1c4e8f,48852,8502.5,8502.5,false,1985,8776.9,
54365,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W3G37M2GNP3TFBZ7BQYQZ24L24H,,PO-054365,,false,,,363,Req Hot Water System,99,500,Chromagen Australia Pty Ltd,16,,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,2183.5,Chromagen,true,0,-2183.5,2025-10-15,,6edf6868-db13-4c8f-8b72-34378d1c4e8f,54365,,,false,1985,-2183.5,
54366,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W7JQ23BCIQILJAILZW77NTYRYCH,,PO-054366,,false,,,363,Req Hot Water System,99,500,Chromagen Australia Pty Ltd,16,,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,2183.5,Chromagen,true,0,-2183.5,2025-10-15,,6edf6868-db13-4c8f-8b72-34378d1c4e8f,54366,,,false,1985,-2183.5,
54367,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6WY3JH2A2AZFUVH36KP67L5RBRSG,,PO-054367,,false,,,363,Req Hot Water System,99,500,Chromagen Australia Pty Ltd,16,,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,4422,Chromagen,true,0,-4422,2025-10-15,,6edf6868-db13-4c8f-8b72-34378d1c4e8f,54367,,,false,4020,-4422,
54368,52,,,,,b!lhQU6ZBW-Umi_Zaobz6m1vv4NrY-98VPrK5C6OMWPChTELgREW0MR6R7ya_2bELe,01JH4F6W5QP5C65KFP5ZE3LYSAFSZTXBAD,,PO-054368,,false,,,363,Req Hot Water System,99,500,Chromagen Australia Pty Ltd,16,,,,,38,"Lot 2 (36) Bowen Road, GLASSHOUSE MOUNTAINS, QLD",15,0,2183.5,Chromagen,true,0,-2183.5,2025-10-15,,6edf6868-db13-4c8f-8b72-34378d1c4e8f,54368,,,false,1985,-2183.5,
