item_code,item_name,category,unit_of_measure,current_price,supplier_name,brand,notes,last_updated
DPP,Wiring of Double Power Point,Electrical,Each,51.00,TL Electrical,,,2025-11-03
WEF,Wiring of Exhaust Fan including Supply Fan 250mm,Electrical,Each,,,,NEEDS PRICING,2025-11-03
WLP,Wiring of Light Point,Electrical,Each,,,,NEEDS PRICING,2025-11-03
ILF,Install Light Fittings,Electrical,Each,,,,NEEDS PRICING,2025-11-03
TP,Telephone point,General,Each,,,,NEEDS PRICING,2025-11-03
SPP,Wiring of Single Power Point,Electrical,Each,50.00,TL Electrical,,,2025-11-03
ODPP,Waterproof double power point,Electrical,Each,69.00,TL Electrical,,,2025-11-03
SDHW,Smoke Detectors Hard Wired Supply of Unit As Well,General,Each,,,,NEEDS PRICING,2025-11-03
WTV,Wiring of TV point,Electrical,Each,58.00,TL Electrical,,,2025-11-03
WTWS,Wiring of Two way switch,Electrical,Each,,,,NEEDS PRICING,2025-11-03
SITEWKS,Rock retaining as Quoted,General,POA,1.00,,,,2025-11-03
SITEWKS1,Site cut as Directed,Site Works,Hours,110.00,,,Budget Zone: Site Cut,2025-11-03
CCMIN,Cutting min Charge,Site Works,Each,170.00,Logan Concrete Sawing & Drilling,,,2025-11-03
POOLAPOQUO,Pool as per Quote,Pool,Each,1.00,POOL,,,2025-11-03
CRUSHERDUST,Crusher Dust,General,m³,333.83,Jopa Queensland,,,2025-11-03
DRI,Document Registration New Dwelling - Ipswich,Approvals,Each,120.00,Fluid Building Approvals,,,2025-11-03
DRCB,Document Registration Commercial - Brisbane,Approvals,Each,137.00,Fluid Building Approvals,,,2025-11-03
PDSSI,Plumbing & Drainage Sewered Sites (New Dwelling) - Ipswich < 500m2 (House),Plumbing,Each,74.00,Fluid Building Approvals,,,2025-11-03
BPBDELV,Brisbane post and beams delv,Steel,Each,35.00,Harvey's Mechanical & Welding,,,2025-11-03
PSTSTIR,Post stirups as quoted,Steel,Each,45.00,Harvey's Mechanical & Welding,,,2025-11-03
SITEWELD,Site work as directed,Site Works,Each,82.00,Harvey's Mechanical & Welding,,,2025-11-03
BSACONTRAT,BSA One Pack Contract Kit,General,Each,10.00,PRELIM,,,2025-11-03
HQ,Hire equipment as requested,Site Services,Each,1.00,Dinkum Dunnies,,,2025-11-03
WS99,Wet Seal Square 900 X 900,General,Each,250.00,Wayke Waterproofing,,,2025-11-03
QHOP,Quote for Hang-on Platform,General,Each,1.00,SCAFFOLD,,Budget Zone: Scaffolding & Saftey,2025-11-03
QP111,Quad Pine 11 X 11,Timber,m,1.08,Pre Hung Doors,,,2025-11-03
QP1818,Quad Pine 18 X 18 Primed LOSP H3,Timber,m,1.19,Pre Hung Doors,,,2025-11-03
SDP4211,Square Dressed Pine 42 X 11,Timber,m,1.06,Pre Hung Doors,,,2025-11-03
SDP4218,Square Dressed Pine 42 X 18,Timber,m,1.40,Pre Hung Doors,,,2025-11-03
SDP6618,Square Dressed Pine 66 X 18,Timber,m,2.71,Pre Hung Doors,,,2025-11-03
SDP9318,Square Dressed Pine 93 X 18,Timber,m,3.23,Pre Hung Doors,,,2025-11-03
MGP107035,Pine 70 X 35 MGP10,Timber,m,1.86,TIMBER FRAME,,,2025-11-03
MGP109035,Pine 90 X 35 MGP10,Timber,m,2.05,TIMBER FRAME,,,2025-11-03
MGP1019035,Pine 190 X 35 MGP10,Timber,m,5.65,TIMBER FRAME,,,2025-11-03
MGP127035,Pine 70 X 35 MGP12,Timber,m,2.46,TIMBER FRAME,,,2025-11-03
DECKBAL9019,Yellow Balau Batu 90 X 19 Decking Material,General,m,4.22,TIMBER FRAME,,,2025-11-03
DECKM9019,Merbau 90 X 19 Decking Material,General,m,3.66,TIMBER FRAME,,,2025-11-03
CUSHSTOP,Door Stop Cushion,Doors & Windows,Each,1.05,Pre Hung Doors,,,2025-11-03
WHR18,Wardrobe Hanging Rod 1800 X 19mm,General,Each,8.37,Pre Hung Doors,,,2025-11-03
WHR36,Wardrobe Hanging Rod 3600 X 19mm,General,Each,16.10,Pre Hung Doors,,,2025-11-03
WHRE,Wardrobe Hanging Rod Ends,General,Pairs,2.75,Pre Hung Doors,,,2025-11-03
WHRC,Wardrobe Hanging Rod Centres,General,Each,1.50,Pre Hung Doors,,,2025-11-03
BNHG12100,Bolt & Nut Hex Galv M12 X 100 each,General,Each,1.44,Bunnings,,,2025-11-03
BNHG12130,Bolt & Nut Hex Galv M12 X 130 each,General,Each,1.34,Bunnings,,,2025-11-03
BNHG12140,Bolt & Nut Hex Galv M12 X 140 each,General,Each,1.16,Bunnings,,,2025-11-03
BNHG12150,Bolt & Nut Hex Galv M12 X 150 each,General,Each,1.46,Bunnings,,,2025-11-03
BCG12100,Bolt & Nut Cup Galv M12 X 100 each,General,Each,1.00,Bunnings,,,2025-11-03
BCG12130,Bolt & Nut Cup Galv M12 X 130 each,General,Each,1.12,Bunnings,,,2025-11-03
BCG12140,Bolt & Nut Cup Galv M12 X 140 each,General,Each,1.17,Bunnings,,,2025-11-03
BCG12150,Bolt & Nut Cup Galv M12 X 150 each,General,Each,1.23,Bunnings,,,2025-11-03
480PBS,Gainsborough 60mm Backset Tubular Latch,General,Each,3.63,Pre Hung Doors,,,2025-11-03
480BCS,Gainsborough 60mm Backset Tubular Latch,General,Each,3.63,Pre Hung Doors,,,2025-11-03
L12100,Lintel Ingal 100 X 100 - 1200mm,General,Each,32.71,Bunnings,,,2025-11-03
L15100,Lintel Ingal 100 X 100 - 1500mm,General,Each,40.89,Bunnings,,,2025-11-03
L18100,Lintel Ingal 100 X 100 - 1800mm,General,Each,49.05,Bunnings,,,2025-11-03
L21100,Lintel Ingal 100 X 100 - 2100mm,General,Each,72.79,Bunnings,,,2025-11-03
L24100,Lintel Ingal 100 X 100 - 2400mm,General,Each,65.44,Bunnings,,,2025-11-03
L21150,Lintel Ingal 150 X 100 - 2100mm,General,Each,93.96,Bunnings,,,2025-11-03
L24150,Lintel Ingal 150 X 100 - 2400mm,General,Each,107.39,Bunnings,,,2025-11-03
L27150,Lintel Ingal 150 X 100 - 2700mm,General,Each,120.80,Bunnings,,,2025-11-03
L30150,Lintel Ingal 150 X 100 - 3000mm,General,Each,134.24,Bunnings,,,2025-11-03
L33150,Lintel Ingal 150 X 100 - 3300mm,General,Each,147.65,Bunnings,,,2025-11-03
L36150,Lintel Ingal 150 X 100 - 3600mm,General,Each,161.07,Bunnings,,,2025-11-03
LF85900,Lintel Ingal Flat 85 X 900mm,General,Each,19.58,Bunnings,,,2025-11-03
LF851200,Lintel Ingal Flat 85 X 1200mm,General,Each,26.09,Bunnings,,,2025-11-03
FLRRD36922,Flooring GP Red Tongue 3600 X 900 X 22,Flooring,Shts,50.00,TIMBER FRAME,,,2025-11-03
PD420,Honeycomb Core 2040 X 420 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 420 Int Door,Brand: Corinthian - 2100 420 Int Door | Model: 2100 420 Int Door,2025-11-03
PD520,Honeycomb Core 2040 X 520 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 520 Int Door,Brand: Corinthian - 2100 520 Int Door | Model: 2100 520 Int Door,2025-11-03
PD620,Honeycomb Core 2040 X 620 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 620 Int Door,Brand: Corinthian - 2100 620 Int Door | Model: 2100 620 Int Door,2025-11-03
PD920,Honeycomb Core 2040 X 920 X 35,Doors,Each,33.60,Pre Hung Doors,Corinthian - 2100 920 Int Door,Brand: Corinthian - 2100 920 Int Door | Model: 2100 920 Int Door,2025-11-03
NO.7GC,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Clear,General,Each,190.00,Pre Hung Doors,,,2025-11-03
NO.7GO,Corinthian Honeycomb Core No.7 External 2040 X 820 1/2Glass Glazed Obscure,General,Each,193.00,Pre Hung Doors,,,2025-11-03
PD720,Honeycomb Core 2040 X 720 X 35,Doors,Each,38.50,Pre Hung Doors,Corinthian - 2100 720 Int Door,Brand: Corinthian - 2100 720 Int Door | Model: 2100 720 Int Door,2025-11-03
PD820,Honeycomb Core 2040 X 820 X 35,Doors,Each,30.00,Pre Hung Doors,Corinthian - 2100 820 Int Door,Brand: Corinthian - 2100 820 Int Door | Model: 2100 820 Int Door,2025-11-03
PBR,Painting to Ballustrade as required,Finishes,m²,40.00,PAINTER,,Budget Zone: Paint,2025-11-03
PEB,Painting required to external Brickwork,Finishes,m²,10.00,PAINTER,,Budget Zone: Paint,2025-11-03
PH,Internal Walls upto 2.4 House 3 Coates,General,m²,32.00,MI Painting and Decorating Services Marko Lvanovic,,Budget Zone: Paint,2025-11-03
KITCHQUOTE,Kitchen as per Quote,General,Each,1.00,Tekna Admin,,,2025-11-03
PTB,Painter to Gable Timber Battens,Timber,m,2.50,PAINTER,,Budget Zone: Paint,2025-11-03
CWINS,Contract Works Insurance,General,Each,1.00,Tekna Insurance,,Budget Zone: Insurance,2025-11-03
ROOFTILE,Roof tiles as per quote,Roofing,Each,1.00,Joii Roofing,,Budget Zone: Main Floors,2025-11-03
CONBLEND,Concrete Blend,Concrete,m³,52.00,LANDSCAPING,,,2025-11-03
PEAGRAVEL,5mm Pea Gravel,General,m³,50.00,LANDSCAPING,,Budget Zone: Gravel to side of house,2025-11-03
TILERALIANG,"Aluminium Angle Per House Mill Finish on Floor Bright Silver to Shower,Bath Hobs NA Niches",Flooring,Each,120.00,Alex Wang Pty Ltd,,,2025-11-03
TILERQUOTE,Tiling as Quoted,General,Each,1.00,Alex Wang Pty Ltd,,,2025-11-03
TRW,Std Rate Walls,General,m²,60.00,Alex Wang Pty Ltd,,,2025-11-03
TRWF,Std Rate Wet Floor Tiling up to 450mm Square or 600mm x 300mm,Flooring,m²,54.00,Alex Wang Pty Ltd,,,2025-11-03
STAMPDUTY,Stamp Duty,General,Each,1.00,LEGAL,,,2025-11-03
WCFRESHWATER,Fresh water flush chemical toilet,General,Weeks,47.50,Dinkum Dunnies,,,2025-11-03
RENCEMLOW,Solid cement render,Concrete,m²,37.00,RENDER,,,2025-11-03
20MPA20100,N20 Mpa 20/100,General,m³,264.00,ReadyMix Concrete,,,2025-11-03
