id,price,effective_date,display_field,pricebook_id,pricebook,default_supplier,supplier_trade_id,supplier_trade
28547,33,2/09/2023,All Clear Electrical : DPP : Wiring of Double Power Point,42328,DPP,FALSE,495,All Clear Electrical
29819,33,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : DPP : Wiring of Double Power Point,42328,DPP,FALSE,513,Latitude 28 Cabling Pty Ltd
24946,33,27/06/2023 6:10,ELECTRICAL : DPP : Wiring of Double Power Point,42328,DPP,FALSE,327,ELECTRICAL
36699,51,30/05/2024 2:00,TL Electrical : DPP : Wiring of Double Power Point,42328,DPP,TRUE,728,TL Electrical
35582,47.6,30/12/2024 14:00,All Clear Electrical : SPP : Wiring of Single Power Point,42333,SPP,FALSE,495,All Clear Electrical
29824,28,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : SPP : Wiring of Single Power Point,42333,SPP,FALSE,513,Latitude 28 Cabling Pty Ltd
24941,28,27/06/2023 6:10,ELECTRICAL : SPP : Wiring of Single Power Point,42333,SPP,FALSE,327,ELECTRICAL
36698,50,30/05/2024 2:00,TL Electrical : SPP : Wiring of Single Power Point,42333,SPP,TRUE,728,TL Electrical
28553,57,2/09/2023 7:59,All Clear Electrical : ODPP : Waterproof double power point,42334,ODPP,FALSE,495,All Clear Electrical
36700,69,30/05/2024 2:00,TL Electrical : ODPP : Waterproof double power point,42334,ODPP,TRUE,728,TL Electrical
24940,57,27/06/2023 6:10,ELECTRICAL : ODPP : Waterproof double power point,42334,ODPP,FALSE,327,ELECTRICAL
29825,57,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : ODPP : Waterproof double power point,42334,ODPP,FALSE,513,Latitude 28 Cabling Pty Ltd
28554,87,2/09/2023 7:59,All Clear Electrical : SDHW : Smoke Detectors Hard Wired Supply of Unit As Well,42335,SDHW,FALSE,495,All Clear Electrical
28548,67,2/09/2023 7:59,All Clear Electrical : WEF : Wiring of Exhaust Fan including Supply Fan 250mm,42329,WEF,FALSE,495,All Clear Electrical
29820,67,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : WEF : Wiring of Exhaust Fan including Supply Fan 250mm,42329,WEF,FALSE,513,Latitude 28 Cabling Pty Ltd
24945,67,27/06/2023 6:10,ELECTRICAL : WEF : Wiring of Exhaust Fan including Supply Fan 250mm,42329,WEF,FALSE,327,ELECTRICAL
28549,29,2/09/2023 7:59,All Clear Electrical : WLP : Wiring of Light Point,42330,WLP,FALSE,495,All Clear Electrical
24944,29,27/06/2023 6:10,ELECTRICAL : WLP : Wiring of Light Point,42330,WLP,FALSE,327,ELECTRICAL
29821,29,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : WLP : Wiring of Light Point,42330,WLP,FALSE,513,Latitude 28 Cabling Pty Ltd
28550,4,2/09/2023 7:59,All Clear Electrical : ILF : Install Light Fittings,42331,ILF,FALSE,495,All Clear Electrical
29822,4,2/09/2023 7:59,Latitude 28 Cabling Pty Ltd : ILF : Install Light Fittings,42331,ILF,FALSE,513,Latitude 28 Cabling Pty Ltd
24943,4,27/06/2023 6:10,ELECTRICAL : ILF : Install Light Fittings,42331,ILF,FALSE,327,ELECTRICAL
28551,37,2/09/2023 7:59,All Clear Electrical : TP : Telephone point,42332,TP,FALSE,495,All Clear Electrical
