file_id,file_name,full_path,file_extension,file_size_bytes,file_size_mb,last_modified,current_folder,parent_folder,group_name,company_folder,company_code,web_url,download_url,matched_company_id,matched_company_name,document_type
"",CIC 11 Register of Directors.docx,Corporate/No Group/CIC 11 Register of Directors.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 12 Allotment Journal.docx,Corporate/No Group/CIC 12 Allotment Journal.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 13 Table of Forms & Documents Lodged with ASIC.docx,Corporate/No Group/CIC 13 Table of Forms & Documents Lodged with ASIC.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 14 Common Seal Register.docx,Corporate/No Group/CIC 14 Common Seal Register.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 15 Register of Debenture Holders.docx,Corporate/No Group/CIC 15 Register of Debenture Holders.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 2 Occupier Consent.docx,Corporate/No Group/CIC 2 Occupier Consent.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 3 Consent to act as Director - RACHEL ANNE HARDER - signed.pdf,Corporate/No Group/CIC 3 Consent to act as Director - RACHEL ANNE HARDER - signed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC 4 Consent to act as Secretary - RACHEL ANNE HARDER - Signed.pdf,Corporate/No Group/CIC 4 Consent to act as Secretary - RACHEL ANNE HARDER - Signed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC 4 Consent to act as Secretary - RACHEL ANNE HARDER.docx,Corporate/No Group/CIC 4 Consent to act as Secretary - RACHEL ANNE HARDER.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 4 Consent to act as Secretary - RACHEL ANNE HARDER.pdf,Corporate/No Group/CIC 4 Consent to act as Secretary - RACHEL ANNE HARDER.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC 5a Consent to Act as Public Officer.docx,Corporate/No Group/CIC 5a Consent to Act as Public Officer.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 5b Notice of Appointment of Public Officer.docx,Corporate/No Group/CIC 5b Notice of Appointment of Public Officer.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 691268452.docx,Corporate/No Group/CIC 691268452.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 8 Application for ORD Shares - THE PROMISE QLD PTY LTD - Signed.pdf,Corporate/No Group/CIC 8 Application for ORD Shares - THE PROMISE QLD PTY LTD - Signed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC 8 Application for ORD Shares - THE PROMISE QLD PTY LTD.docx,Corporate/No Group/CIC 8 Application for ORD Shares - THE PROMISE QLD PTY LTD.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC ASIC Consent to Act as Director - Rachel Anne Harder.pdf,Corporate/No Group/CIC ASIC Consent to Act as Director - Rachel Anne Harder.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC Certificate of Registration - Co Invest Capital.pdf,Corporate/No Group/CIC Certificate of Registration - Co Invest Capital.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC Register of Members.pdf,Corporate/No Group/CIC Register of Members.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC Constitution - Co Invest Capital.pdf,Corporate/No Group/CIC Constitution - Co Invest Capital.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC Constitution Signed.pdf,Corporate/No Group/CIC Constitution Signed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC Constitution.pdf,Corporate/No Group/CIC Constitution.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIC 6 Minutes of the Shareholders.docx,Corporate/No Group/CIC 6 Minutes of the Shareholders.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 7 Minutes of the Directors.docx,Corporate/No Group/CIC 7 Minutes of the Directors.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC 9 Share Certificate - THE PROMISE QLD PTY LTD - ORD - 1758685564.docx,Corporate/No Group/CIC 9 Share Certificate - THE PROMISE QLD PTY LTD - ORD - 1758685564.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC Register of Members.docx,Corporate/No Group/CIC Register of Members.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIC Register of Members.xlsx,Corporate/No Group/CIC Register of Members.xlsx,.xlsx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.xlsx
"",CIC Share Certificate 24-09-2025.pdf,Corporate/No Group/CIC Share Certificate 24-09-2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 10 Register of Members.docx,Corporate/No Group/CIH 10 Register of Members.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 12 Allotment Journal.docx,Corporate/No Group/CIH 12 Allotment Journal.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 13 Table of Forms & Documents Lodged with ASIC.docx,Corporate/No Group/CIH 13 Table of Forms & Documents Lodged with ASIC.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 14 Common Seal Register.docx,Corporate/No Group/CIH 14 Common Seal Register.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 15 Register of Debenture Holders.docx,Corporate/No Group/CIH 15 Register of Debenture Holders.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 2 Occupier Consent.docx,Corporate/No Group/CIH 2 Occupier Consent.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 3 Consent to act as Director - JAKE STANLEY BAIRD.docx,Corporate/No Group/CIH 3 Consent to act as Director - JAKE STANLEY BAIRD.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 3 Consent to act as Director - JAKE STANLEY BAIRD.pdf,Corporate/No Group/CIH 3 Consent to act as Director - JAKE STANLEY BAIRD.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 3 Consent to act as Director - RACHEL ANNE HARDER - Signed.pdf,Corporate/No Group/CIH 3 Consent to act as Director - RACHEL ANNE HARDER - Signed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 3 Consent to act as Director - RACHEL ANNE HARDER.docx,Corporate/No Group/CIH 3 Consent to act as Director - RACHEL ANNE HARDER.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 4 Consent to act as Secretary - RACHEL ANNE HARDER - Signed.pdf,Corporate/No Group/CIH 4 Consent to act as Secretary - RACHEL ANNE HARDER - Signed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 4 Consent to act as Secretary - RACHEL ANNE HARDER.docx,Corporate/No Group/CIH 4 Consent to act as Secretary - RACHEL ANNE HARDER.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 5a Consent to Act as Public Officer - RACHEL ANNE HARDER - Signed.pdf,Corporate/No Group/CIH 5a Consent to Act as Public Officer - RACHEL ANNE HARDER - Signed.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 5a Consent to Act as Public Officer - RACHEL ANNE HARDER.docx,Corporate/No Group/CIH 5a Consent to Act as Public Officer - RACHEL ANNE HARDER.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 5b Notice of Appointment of Public Officer - RACHEL ANNE HARDER.docx,Corporate/No Group/CIH 5b Notice of Appointment of Public Officer - RACHEL ANNE HARDER.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 691269333.docx,Corporate/No Group/CIH 691269333.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 8 Application for A Shares - KIRSTEN RENEE BAIRD.docx,Corporate/No Group/CIH 8 Application for A Shares - KIRSTEN RENEE BAIRD.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 8 Application for ORD Shares - KIRSTEN RENEE BAIRD.pdf,Corporate/No Group/CIH 8 Application for ORD Shares - KIRSTEN RENEE BAIRD.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 8 Application for ORD Shares - THE PROMISE QLD PTY LTD.docx,Corporate/No Group/CIH 8 Application for ORD Shares - THE PROMISE QLD PTY LTD.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH ABN Advice Letter.pdf,Corporate/No Group/CIH ABN Advice Letter.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH Application for A Shares THE PROMISE QLD PTY LTD.pdf,Corporate/No Group/CIH Application for A Shares THE PROMISE QLD PTY LTD.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH ASIC Form 252 Public Officer 24-09-2025.pdf,Corporate/No Group/CIH ASIC Form 252 Public Officer 24-09-2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH Certifcate of registration - Co Invest Homes.pdf,Corporate/No Group/CIH Certifcate of registration - Co Invest Homes.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH Co Invest Homes Tax File Number.pdf,Corporate/No Group/CIH Co Invest Homes Tax File Number.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH Register of Directors.pdf,Corporate/No Group/CIH Register of Directors.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH Share Application Kirsten Baird 24-09-2025.pdf,Corporate/No Group/CIH Share Application Kirsten Baird 24-09-2025.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH Share Certificate Kirsten Renee Baird.pdf,Corporate/No Group/CIH Share Certificate Kirsten Renee Baird.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 1 Constitution.pdf,Corporate/No Group/CIH 1 Constitution.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH Constitution.pdf,Corporate/No Group/CIH Constitution.pdf,.pdf,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.pdf
"",CIH 6 Minutes of the Shareholders.docx,Corporate/No Group/CIH 6 Minutes of the Shareholders.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 7 Minutes of the Directors.docx,Corporate/No Group/CIH 7 Minutes of the Directors.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 9 Share Certificate - KIRSTEN RENEE BAIRD - A - 1758686462.docx,Corporate/No Group/CIH 9 Share Certificate - KIRSTEN RENEE BAIRD - A - 1758686462.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
"",CIH 9 Share Certificate - KIRSTEN RENEE BAIRD - ORD - 1758686462.docx,Corporate/No Group/CIH 9 Share Certificate - KIRSTEN RENEE BAIRD - ORD - 1758686462.docx,.docx,0,0,"",No Group,No Group,No Group,No Group,"","","","","",.docx
